"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"insb***",1.033774887,1.410099045,1.180846059,1.039079779,1.115866494,1.024071003,1.124471836,1.146671848,0.868742788,1.053889514,1.672205084,1.85552217,1.37309891,1.39006127,1.583785774,1.290642896,1.05157326,1.140439139,1.046033223,0.881848224,0.910199988,1.181952815,0.892916143,0.978200227,0.931294528,1.025938792,1.143486017,1.036487545,0.92335671,0.926060919,1.013999777,1.124169141,0.960471894,0.869946801,1.158051517,1.081652318,1.473158798,1.157219205,1.085741337,1.299661867,1.300507164,1.446733303,1.039266194,1.222436179,1.027679055
"ADM2***",1.529094376,1.316146336,1.3656977,1.538250474,1.573092958,1.210733295,1.410714927,1.486317694,1.639534514,1.241205144,1.31567992,1.239952109,1.647526826,1.485816005,1.512516873,1.137400439,1.246966876,1.330673881,1.241131896,1.277165948,1.325862586,1.373991628,1.196707587,1.170425062,1.362836345,1.108913004,1.433903067,1.33846251,1.23949846,1.243344107,1.309421311,1.500949024,1.404992758,1.343942403,1.423999941,1.612841266,1.648047791,1.499783369,1.078076725,1.54803674,1.394385329,1.442626841,1.234015812,1.408475995,1.221860618
"pyyb***",3.634907596,3.229808552,3.06877403,3.423448896,3.387391101,4.567954561,3.467880638,2.796758488,3.308260511,3.895590648,4.296292914,3.87630893,3.522746601,3.541365836,4.664352347,3.797753894,3.182628448,2.964031493,2.822480099,2.933566154,3.382083018,3.440507952,2.895904187,3.278409673,4.249788581,3.109065044,3.051704187,3.591018493,3.083141763,3.009287171,2.839375497,3.41019631,3.501992207,4.298861876,3.202550588,3.637043671,3.641489567,4.08865212,3.508839325,3.579116703,3.315949211,2.708847216,3.35966613,3.88661183,3.503370093
"adcyap1b***",4.160895858,4.099286659,3.851960029,3.919187625,3.762495204,3.892093829,3.68652462,4.008397836,3.524492167,4.171220646,4.409620794,3.891786362,3.858220045,3.93440192,4.080311678,3.730764769,3.565483953,3.88578306,3.611951627,3.305170018,3.485304644,3.965145183,3.284092099,4.001309561,3.643048634,3.868302211,3.845978342,4.132158678,3.606726085,3.486398169,4.077403763,3.685653635,4.055930253,4.013381066,3.526210937,3.863255758,3.850119243,3.524224718,4.228391816,4.271549073,4.25711472,4.056380186,3.458723588,4.006688396,3.775375514
"stc1l***",6.529690245,7.483750015,6.688464039,4.716116701,7.573635653,7.236286651,5.385523804,5.329487962,6.801160764,6.235828877,6.072921,4.438189692,7.002132166,5.78467493,5.852317252,5.838931722,5.696187916,6.449125371,4.550887809,4.87238535,4.527188243,6.426546352,4.529820692,4.552271332,4.783195142,5.038924025,6.319207627,4.832459935,4.825464057,4.558981247,4.775755281,4.391624104,7.246378303,4.707970958,6.548028777,5.337881048,6.035494968,6.651258281,5.402122894,5.814569182,6.602652913,6.486751986,5.340582415,6.511681122,6.743224905
"GABRD***",6.412743101,6.283492209,6.025421969,6.44266644,6.02305909,6.397787709,6.760575375,6.202116964,6.002604857,6.489866427,6.301671235,6.26590522,6.49193349,6.543304247,6.58448492,5.929759396,6.165511947,6.186667131,6.407714234,5.787983756,5.824623785,6.311984652,5.651217859,5.765803563,5.587431973,5.680574348,6.692589078,6.379226309,6.234474755,6.045696685,6.487404008,6.546006088,6.355275201,6.457783493,6.204791295,6.445540786,6.499622795,5.965342191,6.129368739,6.657258115,6.113893621,6.509993949,5.907972516,6.567805649,5.689211397
"gabra1***",6.925404195,6.67976004,6.456151338,6.638675175,6.381792161,6.443154034,6.92142345,6.661867024,5.889608283,6.376996394,6.491218214,6.64057073,6.867634648,6.769853142,7.02387274,6.419074259,6.053502085,6.283141476,5.948973073,5.248440729,5.363564474,6.338283253,5.486382299,5.951983976,5.957438872,5.682968218,6.776954551,6.431932543,6.439426562,5.771033984,6.744947493,6.764396375,6.298171882,6.290473009,5.776728321,6.119942771,6.812472408,6.189779244,6.122329028,6.862084078,6.360339673,7.224124933,6.140975364,6.883221602,5.8919062
"GABRG2***",6.67503695,6.56230355,6.454044117,6.715535747,6.442075194,6.646327058,6.764544694,6.704004295,6.153571177,6.772628324,6.685198334,6.407032138,6.618951028,6.541585783,7.038519244,6.363042577,6.10831331,6.340145401,6.195774174,5.52598823,5.594296546,6.340531961,5.735046191,6.121302362,6.054814835,5.938581806,6.588048776,6.278567842,6.404623146,5.899549867,7.019216723,6.754703025,6.630257887,6.257549724,6.33977606,6.033035335,6.656015464,6.400823163,6.544893214,7.012822676,6.285553075,6.878578606,5.971080312,6.797275706,5.835723499
