"GeneID","GO_Terms","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000009400","GO:0007165;GO:0003779;GO:0008083;GO:0071933;GO:0150103;GO:0071846",6.677506581,6.751180264,7.097470763,6.782168371,6.821571095,6.824798925,6.967660226,6.933680986,6.867090366,7.039359211,7.054525147,6.846051803,6.767355771,6.85161149,7.058954159,6.768582322,7.019262299,6.79449958,6.778857468,6.930607507,6.903290156,6.97524951,7.183311276,7.204516437,7.067700724,7.038738727,6.726783598,6.913867689,6.912746299,6.854192731,6.915259037,6.787789808,6.978584731,6.741621868,6.959666265,6.461788776,6.988258603,7.117374965,7.302084974,6.983429536,7.207848549,6.779789161,7.116069461,6.869237163,6.854718416,0.614920596,0.935148369,0.54552523,0.842650244,0.256598216,1,"gmfb"
"ENSAPEG00000009443","GO:0000166;GO:0005524;GO:0003774;GO:0003779;GO:0051015;GO:0016459;GO:0005515;GO:0048731",7.418817186,7.806732151,8.27762931,8.268012602,8.11916926,7.363180003,7.632732007,8.007312999,7.911287811,8.320319909,7.728430731,7.435962851,8.098098898,8.375216451,7.825393223,7.487100555,8.29283217,8.179540362,8.043672988,8.379550474,8.036739259,8.099753499,8.151415194,7.97394375,8.003939911,8.771844515,7.9836049,8.078029901,7.99743092,7.879525113,7.899137226,7.762016721,8.507902418,8.209674172,8.342983815,7.782166096,7.690372758,7.988634232,8.106882999,8.132356318,8.046451255,8.030893361,7.739621421,7.885382397,7.791171181,0.530356274,0.91390975,0.20664722,0.588348675,0.527049536,1,"MYH6"
"ENSAPEG00000009800","GO:0005856;GO:0003779;GO:0005523;GO:0051694;GO:0030017",6.830857766,6.844327575,6.876827511,6.604036974,6.197363812,6.659887899,6.507948639,6.822314152,6.722312795,6.617927462,6.67358153,6.273987207,6.905342983,6.864030828,7.000020108,6.826361474,6.627163382,6.745776727,6.370918007,6.533389619,6.267591364,6.845691028,6.605033848,6.753320498,6.974275867,6.987630005,6.88871891,6.589551718,6.864580574,6.595613976,5.875668031,6.377538541,6.676003789,7.144046739,6.666158048,6.711732706,6.744703852,6.9551596,6.699822673,6.604454137,6.60352725,6.635694679,6.483900214,6.615930472,6.982210495,0.886514834,0.985080518,0.992490151,0.997627972,0.890970975,1,"LMOD1"
"ENSAPEG00000009841","GO:0005856;GO:0000166;GO:0005524;GO:0003774;GO:0004672;GO:0006468;GO:0003779;GO:0016459;GO:0050896;GO:0007601;GO:0005515;GO:0048731;GO:0043226;GO:0043412",5.189658575,4.942799281,4.567657752,4.895332737,5.22422793,4.693066091,4.93506089,5.047013782,4.665845005,4.872469564,4.92115844,4.860077987,5.835964638,4.809846545,5.140880287,4.687638204,4.423996608,4.884467105,4.615304151,4.988561284,5.057233296,4.882119365,4.14172884,4.327832475,4.439021529,4.833255985,5.185337178,4.45110453,5.066245638,4.208877314,4.969540554,4.907026023,5.11805762,4.774300849,5.158407112,4.856644867,4.812952081,4.859561957,4.622148035,4.780315853,4.620732637,5.03743144,4.545970582,5.330871794,4.183958801,0.204219189,0.715969057,0.01592865,0.172083777,0.250148576,1,"myo3a"
"ENSAPEG00000010210","GO:0016020;GO:0005737;GO:0005856;GO:0003779;GO:0005886;GO:0008092;GO:0071944",-1.776146177,-1.779642762,-1.787137126,-1.774861188,-1.781681508,-1.799212949,-1.696790339,-1.792682872,-1.790951743,-1.793514742,-1.795064204,-1.773441276,-1.772233448,-1.782198866,-1.69523126,-1.769159408,-1.77180962,-1.776942589,-1.773167429,-1.703617266,-1.777838091,-1.685561421,-1.783364487,-1.789345694,-1.687675856,-1.778033955,-1.776351499,-1.775489842,-1.773546516,-1.772653326,-1.697652693,-1.780085333,-1.793501893,-1.790576444,-1.79083484,-1.764281933,-1.782040909,-1.790969936,-1.704206936,-1.710535061,-1.782607926,-1.774963898,-1.774815924,-1.53067105,-1.777615715,0.92371074,NA,0.695921064,NA,0.622881806,1,"msnb"
"ENSAPEG00000010328","GO:0007165;GO:0005576;GO:0005179;GO:0008083;GO:0005615;GO:0005159;GO:0001756;GO:0030900;GO:0030903;GO:0031101;GO:0048793;GO:0002040",7.459483159,7.101550377,7.46432887,7.484651848,6.982702077,7.175933595,7.315630696,7.544954245,7.786787838,7.444567365,7.426967532,6.995334442,7.212234048,7.282221743,7.320941114,7.611824036,7.032993364,7.331105611,7.720009295,7.522084624,6.835381738,7.528429778,7.571358038,7.643297778,7.483739936,7.388900987,7.171325007,7.102052902,7.472519449,7.202308279,6.976335819,7.027931499,7.341188842,7.452797023,7.364528006,6.806254426,7.304485947,7.451892907,7.51654505,7.692835945,7.148197067,7.139552936,6.953966433,7.180014143,7.273942175,0.165106726,0.671472444,0.610640275,0.87183866,0.363989461,1,"igf2b"
"ENSAPEG00000010331","GO:0016020;GO:0005737;GO:0005856;GO:0003779;GO:0005886;GO:0008092;GO:0071944",-0.383778864,0.01349697,-0.20980589,-0.506371757,-0.514584037,-0.536349929,-0.512570534,-0.528198462,-0.419370066,-0.425593612,-0.429353752,-0.377429057,-0.503278723,-0.39819957,-0.510684792,-0.499720014,-0.373633193,-0.508851841,-0.504372962,-0.520946796,-0.509926404,-0.499306307,-0.516644014,-0.524039491,-0.371558318,-0.388248222,-0.384263548,-0.382231959,-0.259021626,-0.503769928,-0.395058926,-0.512641253,-0.52922092,-0.318659672,-0.319570674,-0.356521007,-0.288591975,-0.320046927,-0.410859137,-0.529557919,-0.399182622,-0.380995134,-0.506318107,-0.282772664,-0.509659159,0.298443419,NA,0.381264938,NA,0.852035391,1,"nf2a"
"ENSAPEG00000010418","GO:0000166;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0005515;GO:0048731",2.203329057,2.334170998,2.026501245,2.382217498,1.9782027,2.317891187,2.252296595,2.656555233,2.58021558,2.05339004,2.180168887,1.931384475,2.487564128,1.974559904,2.183300269,2.439425263,2.047128416,2.36130345,2.228961696,2.460933934,2.005186564,2.170084083,1.769129597,2.089297814,2.577379621,2.350336115,2.286716963,2.118078702,2.312948776,2.321290959,1.886047105,2.473813535,2.195634339,2.153656719,2.472716461,2.488151479,2.451803835,2.220783729,2.182880527,2.258512804,2.147524397,1.812455801,1.923083288,2.248979111,2.006742886,0.55457328,0.92039894,0.85865561,0.966543423,0.661495171,1,"MYO1B"
"ENSAPEG00000010513","GO:0003779;GO:0007009",1.02850847,0.904905091,0.974284589,0.923438262,0.896930438,1.072775793,1.202002706,1.034234403,1.206878755,0.942652716,0.934983864,0.808317073,0.93349903,0.894901089,0.909482336,0.819948858,1.156838663,1.024611672,1.043015743,0.975689111,1.02022194,1.17424797,0.890321425,0.963326225,1.162038373,0.91116972,0.917690731,1.410194927,0.808027971,1.151938279,0.787533563,1.108446576,1.110923054,1.284352788,0.955937777,1.085471031,0.895520907,0.955267633,0.874228943,1.185686966,0.782658718,1.236231823,0.92361238,1.106706254,1.021312787,0.979984584,NA,0.509993464,NA,0.510832548,1,"MTSS1"
"ENSAPEG00000010527","GO:0016020;GO:0005737;GO:0005856;GO:0003779;GO:0005543;GO:0005200;GO:0007010;GO:0051693;GO:0008091;GO:0005515;GO:0071944",6.905837317,7.061450597,6.904908326,6.954221036,7.048987738,7.139072833,6.741543763,7.450594699,7.386174934,7.10731763,7.110038105,6.655845013,7.078436582,6.738765963,6.980734713,6.983190557,6.703648669,7.148122377,6.82837141,7.095527931,6.752268444,6.961003707,6.824664697,7.160926069,7.349180725,6.717727882,7.110116184,6.743983521,7.154014551,6.808427915,6.759406117,6.892774443,7.200875518,7.162926619,6.818102796,7.024411016,6.904432468,6.984478452,7.162950132,7.180146166,6.891106971,6.712863062,6.625843358,7.058471043,6.796517866,0.700851775,0.954296072,0.548664777,0.844809171,0.314627123,1,"SPTBN1"
"ENSAPEG00000010684","GO:0046872;GO:0005737;GO:0003779;GO:0004497;GO:0071949;GO:0005515;GO:0048513",3.07906035,3.670089839,3.258876392,3.304569818,3.988384697,3.142893466,3.034760582,3.182744185,3.308262981,3.407677616,3.249036075,3.564977889,3.404008864,3.079524921,3.124227083,3.077432527,3.128523445,3.277413513,3.391356153,3.316322444,3.499961902,3.240170839,3.193859138,3.557619415,3.058603469,3.695953959,3.723065217,3.229790718,3.617701236,3.193967437,3.40134984,3.568614556,3.318616791,3.53787118,3.791446707,3.758998562,3.384880702,3.356010042,3.30795703,3.526379511,3.666568882,3.166254068,3.168029064,3.352475075,3.503242907,0.477503959,0.896348154,0.575992099,0.857863876,0.183383857,1,"MICAL2"
"ENSAPEG00000010788","GO:0031032;GO:0003779;GO:0005515;GO:0005516",5.257447164,5.387452193,5.747922163,5.830293204,5.794764949,5.623866236,5.589024076,5.581868633,5.605072189,5.902420925,5.91976913,5.163350106,6.054369022,5.523374966,5.660550274,5.60507188,5.641068793,5.852248514,6.033089465,5.837446264,5.636027948,5.83211105,6.138193321,5.987670159,5.935693475,5.844273791,5.431838175,5.350436569,5.894291145,5.433664147,5.491383673,5.528696416,5.81217714,5.970236088,5.679811638,5.236955818,5.847461508,6.045779959,5.636168834,5.770225286,5.642834811,5.574241481,5.414772427,5.481411937,5.25544193,0.193574748,0.704383357,0.16215475,0.535478374,0.93567506,1,"cnn3b"
"ENSAPEG00000010826","GO:0007165;GO:0005576;GO:0008083",4.981201474,5.397403716,5.399782279,5.302442145,5.411550976,4.946558938,5.097615433,5.359066588,5.472384922,5.227752534,5.337201726,4.722665763,5.230083539,5.102873336,5.296016889,5.422131228,4.711681288,5.160291244,5.184012663,5.183555902,4.391697437,4.921430852,5.356234935,5.384618659,5.083531088,4.914199526,5.119668967,4.606171821,5.280837197,4.813197743,4.859373999,4.677740988,5.30990228,5.565282604,5.47498946,5.114361354,5.325953295,5.412142664,5.34136716,5.304026362,5.333734746,4.770910126,5.177465783,5.648094209,4.922253344,0.09296679,0.542025536,0.137747439,0.499879379,0.824384501,1,"bmp16"
"ENSAPEG00000010851","GO:0005737;GO:0000166;GO:0005856;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0005515;GO:0120025;GO:0048731",2.620427232,2.229044791,2.07054599,3.930320961,2.006459917,2.062223793,3.515195573,1.931330792,2.133150677,1.925564062,1.914798697,3.63278177,2.29048172,2.389522135,2.335372663,2.86081326,2.395778096,2.349297734,2.953837616,1.971431998,2.519370515,3.486181622,2.752342081,1.954360904,2.301280532,2.430795374,3.539582585,2.85422887,2.060169134,2.817626233,2.313176529,2.410497775,2.11130015,2.595384039,2.655953247,4.070917421,2.391091774,2.132994999,2.1631015,2.108984696,2.105227403,3.722416766,2.9972744,2.919846719,2.603946665,0.755116003,0.965069612,0.80072815,0.946557775,0.949252391,1,"MYO7A"
"ENSAPEG00000010931","GO:0016020;GO:0005737;GO:0005856;GO:0003779;GO:0005543;GO:0005200;GO:0007010;GO:0051693;GO:0008091;GO:0035162;GO:0048821;GO:0005515;GO:0071944",4.155977899,4.662571274,4.748335824,4.719632622,4.745991174,4.583225866,4.748622749,4.735728471,4.698226328,4.719086645,4.776468197,4.675815649,4.990675325,5.041477732,4.651785649,4.89607546,4.508414391,5.104682428,4.484754354,4.527229158,4.361849627,4.374583572,4.592493378,4.977661171,4.759055275,4.17640598,5.092792463,4.741306389,5.313164161,4.653415589,4.639045406,4.323635945,4.891011753,4.823916373,4.884314273,4.64029458,4.998862448,4.793225845,4.932625559,4.844814496,4.727984372,4.847091597,4.650374473,4.800174292,4.667781017,0.72170631,0.956933385,0.705290245,0.912145285,0.447322695,1,"sptb"
"ENSAPEG00000011161","GO:0005737;GO:0005856;GO:0003779;GO:0051015;GO:0007015;GO:0030674",6.672460851,6.468478748,6.655270168,7.108748201,6.410743767,6.632217814,6.92978688,6.970873827,6.715809134,6.786706777,6.775549889,6.798517639,6.453682578,6.939013962,6.650492662,6.707584982,6.991386353,6.823578361,6.784183793,6.797871739,6.63339278,7.026554006,6.873326663,6.73886398,6.604767464,6.71145264,7.049540761,6.810343029,6.764819102,6.615194146,6.463702938,6.663757632,6.91067523,6.981493888,6.933158617,6.80792487,6.722011059,6.800562274,6.681526045,6.787087352,6.868116402,7.002593749,6.670402241,6.952428453,6.750753596,0.776510219,0.967223641,0.531176074,0.834463301,0.351186291,1,"FSCN1"
"ENSAPEG00000011206","GO:0016787;GO:0003779;GO:0008138;GO:0016791;GO:0006470;GO:0016311;GO:0004721;GO:0030837;GO:0004722;GO:0017018",0.887782619,1.289517864,1.058706336,1.500633981,0.982530874,1.155088022,1.286865191,1.276896046,1.29013852,1.411528959,1.103301418,0.89569567,1.020554232,1.271867307,1.102826606,1.032654104,1.136250634,1.638903954,1.016847666,1.060152789,0.99812743,1.034065461,0.866255266,0.848093565,1.025772747,0.882205751,1.004116707,1.221163896,1.015339468,0.89798214,0.985757016,1.094633008,1.193998405,1.13028906,1.365385935,1.173202306,1.272958345,1.039120349,0.853891551,1.192150242,1.08181184,1.321758905,1.01027394,0.98782392,0.999025032,0.326414659,NA,0.07123166,NA,0.376194425,1,"SSH1"
"ENSAPEG00000011338","GO:0005737;GO:0007165;GO:0015031;GO:0008083;GO:0005096;GO:0006897;GO:0005768;GO:0005769",2.586383941,2.469121746,2.692589797,3.035224395,2.684935327,2.867445298,2.967740289,2.908793608,2.44430507,2.846653382,2.405039616,2.43050409,2.86375509,2.749131934,2.988072829,2.821476328,3.075215947,2.809545002,2.853002253,3.136729783,3.056123841,2.825407708,2.801598052,2.730065381,2.636420826,2.568280763,2.584416047,2.505919406,2.611271756,2.61980848,2.693569259,2.702336493,2.738534336,2.653398602,2.712349803,2.699305601,3.054967136,2.648926777,2.689089843,2.894007834,2.674841517,2.597709427,2.419464123,3.281052836,2.801800047,0.760447113,0.965153622,0.573799731,0.857093749,0.792244613,1,"rabep1"
